Timeindex,AIM_Gas_pressure_B2,AIM_H2_flow,AIM_SCR_Set_Point,AIM_Stack_1_temp,AIM_Stack_Current,AIM_Voltage_Cell,Temp. cat,Cell voltage [V],Current Density $[mA/cm^2]$,H2 power,Stack power consumption [W],efficiency,Pres. cat [bar],Hydrogen molar flow [mol/s],Current from faraday [A],J from faraday $[mA/cm^2]$
2023-06-22 15:47:00,4.81,1.28,45.94,52.0,20.0,360.0,50,2.25,44.44444444444444,3835.3497599999996,7200.0,0.5326874666666667,4.5,0.01598222222222222,19.278555555555553,42.841234567901225
2023-06-22 15:48:00,4.93,0.57,34.16,52.0,9.0,312.0,50,1.95,20.0,1707.9291899999996,2808.0,0.6082368910256409,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 15:49:00,4.225,2.94,57.57,53.0,46.0,392.0,50,2.45,102.22222222222223,8809.318979999998,18032.0,0.48853809782608687,4.0,0.03670916666666667,44.28043229166667,98.40096064814816
2023-06-22 15:50:00,4.255,3.71,62.155,53.0,58.0,405.0,50,2.53125,128.88888888888889,11116.521569999997,23490.0,0.4732448518518517,4.0,0.04632347222222222,55.877688368055544,124.17264081790121
2023-06-22 15:51:00,4.72,2.36,54.02,53.0,37.0,384.0,50,2.4,82.22222222222223,7071.426119999998,14208.0,0.4977073564189188,4.5,0.029467222222222218,35.54483680555555,78.98852623456789
2023-06-22 15:52:00,4.685,2.24,53.29,54.0,35.0,380.0,50,2.375,77.77777777777777,6711.86208,13300.0,0.5046512842105263,4.5,0.02796888888888889,33.73747222222222,74.97216049382718
2023-06-22 15:53:00,4.64,2.56,55.05,54.0,39.0,386.0,50,2.4125,86.66666666666667,7670.699519999999,15054.0,0.5095456038262255,4.5,0.03196444444444444,38.557111111111105,85.68246913580245
2023-06-22 15:54:00,4.73,2.36,53.575,54.0,37.0,382.0,50,2.3875,82.22222222222223,7071.426119999998,14134.0,0.5003131540965048,4.5,0.029467222222222218,35.54483680555555,78.98852623456789
2023-06-22 15:55:00,4.805,1.53,48.28,55.0,25.0,365.0,50,2.28125,55.55555555555556,4584.44151,9125.0,0.5024045490410959,4.5,0.01910375,23.043898437499998,51.20866319444443
2023-06-22 15:56:00,4.64,2.11,52.27,55.0,33.0,374.0,50,2.3375,73.33333333333333,6322.334369999999,12342.0,0.5122617379679143,4.5,0.02634569444444444,31.779493923611103,70.62109760802467
2023-06-22 15:57:00,4.755,1.92,51.58,55.0,30.0,374.0,50,2.3375,66.66666666666667,5753.024639999999,11220.0,0.512747294117647,4.5,0.02397333333333333,28.917833333333327,64.26185185185184
2023-06-22 15:58:00,4.77,1.79,50.26,55.0,28.0,370.0,50,2.3125,62.22222222222222,5363.496929999999,10360.0,0.5177120588803088,4.5,0.022350138888888888,26.95985503472222,59.910788966049374
2023-06-22 15:59:00,4.755,1.66,49.71,55.0,26.0,368.0,50,2.3,57.77777777777778,4973.969219999999,9568.0,0.5198546425585283,4.5,0.02072694444444444,25.001876736111107,55.559726080246904
2023-06-22 16:00:00,4.77,1.72,49.83,55.0,28.0,368.0,50,2.3,62.22222222222222,5153.75124,10304.0,0.5001699572981366,4.5,0.02147611111111111,25.905559027777777,57.56790895061728
2023-06-22 16:01:00,4.77,1.72,49.75,55.0,28.0,369.5,50,2.309375,62.22222222222222,5153.75124,10346.0,0.4981394973902957,4.5,0.02147611111111111,25.905559027777777,57.56790895061728
2023-06-22 16:02:00,4.71,2.43,54.19,55.0,40.0,383.0,50,2.39375,88.88888888888889,7281.17181,15320.0,0.4752723113577023,4.5,0.030341250000000004,36.5991328125,81.33140625
2023-06-22 16:03:00,4.73,2.04,51.915,55.0,32.0,376.0,50,2.35,71.11111111111111,6112.58868,12032.0,0.5080276496010638,4.5,0.02547166666666667,30.725197916666673,68.2782175925926
2023-06-22 16:04:00,4.795,1.92,50.51,55.0,28.0,371.0,50,2.31875,62.22222222222222,5753.024639999999,10388.0,0.5538144628417403,4.5,0.02397333333333333,28.917833333333327,64.26185185185184
2023-06-22 16:05:00,4.92,0.64,33.83,55.0,10.0,309.0,50,1.93125,22.22222222222222,1917.6748799999998,3090.0,0.6206067572815533,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:06:00,4.85,0.76,37.99,55.0,12.0,328.0,50,2.05,26.666666666666668,2277.23892,3936.0,0.5785667987804878,4.5,0.009489444444444444,11.446642361111111,25.436983024691358
2023-06-22 16:20:00,4.88,0.89,40.22,54.0,15.0,279.0,50,1.74375,33.333333333333336,2666.7666299999996,4185.0,0.6372202222222221,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:21:00,4.86,0.7,36.945,55.0,11.0,271.0,50,1.69375,24.444444444444443,2097.4568999999997,2981.0,0.7036084870848708,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:22:00,4.515,3.0,57.655,54.0,47.0,329.0,50,2.05625,104.44444444444444,8989.101,15463.0,0.581329690228287,4.5,0.03745833333333333,45.18411458333333,100.40914351851852
2023-06-22 16:23:00,4.54,3.39,59.445,55.0,53.0,333.0,50,2.08125,117.77777777777777,10157.684129999998,17649.0,0.5755387914329423,4.5,0.04232791666666667,51.05804947916668,113.46233217592595
2023-06-22 16:24:00,4.54,3.39,59.295,55.0,53.0,333.0,50,2.08125,117.77777777777777,10157.684129999998,17649.0,0.5755387914329423,4.5,0.04232791666666667,51.05804947916668,113.46233217592595
2023-06-22 16:25:00,4.68,3.13,57.265,55.0,49.0,329.0,50,2.05625,108.88888888888889,9378.628709999999,16121.0,0.5817646988400222,4.5,0.03908152777777778,47.14209288194444,104.760206404321
2023-06-22 16:26:00,4.84,0.96,40.705,56.0,14.0,284.0,55,1.775,31.11111111111111,2876.5123199999994,3976.0,0.7234688933601608,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:27:00,4.84,1.15,42.93,56.0,18.0,290.0,55,1.8125,40.0,3445.8220499999993,5220.0,0.6601191666666665,4.5,0.014359027777777776,17.320577256944443,38.49017168209876
2023-06-22 16:28:00,4.92,0.64,33.905,55.0,10.0,260.0,50,1.625,22.22222222222222,1917.6748799999998,2600.0,0.7375672615384614,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:29:00,4.86,0.89,39.44,55.0,14.0,281.0,50,1.75625,31.11111111111111,2666.7666299999996,3934.0,0.6778766217590237,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:30:00,4.89,0.76,36.83,55.0,12.0,269.0,50,1.68125,26.666666666666668,2277.23892,3228.0,0.7054643494423791,4.5,0.009489444444444444,11.446642361111111,25.436983024691358
2023-06-22 16:31:00,4.89,0.64,35.09,55.0,10.0,264.0,50,1.65,22.22222222222222,1917.6748799999998,2640.0,0.7263919999999999,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:32:00,4.855,0.76,37.405,54.0,12.0,273.0,50,1.70625,26.666666666666668,2277.23892,3276.0,0.6951278754578754,4.5,0.009489444444444444,11.446642361111111,25.436983024691358
2023-06-22 16:33:00,4.84,1.02,41.195,55.0,16.0,287.0,50,1.79375,35.55555555555556,3056.29434,4592.0,0.665569324912892,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 16:34:00,4.93,0.57,31.61,54.0,10.0,248.0,50,1.55,22.22222222222222,1707.9291899999996,2480.0,0.6886811249999999,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:35:00,4.855,0.7,36.24,55.0,10.0,270.0,50,1.6875,22.22222222222222,2097.4568999999997,2700.0,0.7768358888888888,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:36:00,4.86,0.96,40.64,54.0,16.0,285.0,50,1.78125,35.55555555555556,2876.5123199999994,4560.0,0.6308141052631577,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:37:00,4.885,0.7,35.99,54.0,11.0,270.0,50,1.6875,24.444444444444443,2097.4568999999997,2970.0,0.7062144444444444,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:38:00,4.85,0.83,38.71,54.0,13.0,279.0,50,1.74375,28.88888888888889,2486.9846099999995,3627.0,0.6856864102564101,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 16:39:00,4.82,1.02,40.895,54.0,15.0,286.0,50,1.7875,33.333333333333336,3056.29434,4290.0,0.712422923076923,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 16:40:00,4.83,1.34,45.25,54.0,21.0,300.0,50,1.875,46.666666666666664,4015.1317799999997,6300.0,0.6373225047619047,4.5,0.01673138888888889,20.182237847222222,44.84941743827161
2023-06-22 16:41:00,4.93,0.57,32.75,54.0,9.0,255.0,50,1.59375,20.0,1707.9291899999996,2295.0,0.7441957254901959,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:42:00,4.87,0.7,36.05,54.0,11.0,268.0,50,1.675,24.444444444444443,2097.4568999999997,2948.0,0.7114847014925372,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:43:00,4.86,0.96,40.13,54.0,15.0,283.0,50,1.76875,33.333333333333336,2876.5123199999994,4245.0,0.6776236325088337,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:44:00,4.91,0.64,34.8,54.0,11.0,264.5,50,1.653125,24.444444444444443,1917.6748799999998,2909.5,0.6591080529300567,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:45:00,4.885,0.64,34.71,54.0,9.0,263.0,50,1.64375,20.0,1917.6748799999998,2367.0,0.810171051964512,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 16:46:00,4.82,0.89,39.895,54.0,14.0,283.0,50,1.76875,31.11111111111111,2666.7666299999996,3962.0,0.6730859742554265,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:47:00,4.85,1.08,41.795,54.0,17.0,289.0,50,1.80625,37.77777777777778,3236.0763599999996,4913.0,0.6586762385507835,4.5,0.013485,16.26628125,36.14729166666666
2023-06-22 16:48:00,4.93,0.7,36.115,54.0,10.0,271.0,50,1.69375,22.22222222222222,2097.4568999999997,2710.0,0.7739693357933578,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:49:00,4.89,0.57,32.635,54.0,8.0,251.5,50,1.571875,17.77777777777778,1707.9291899999996,2012.0,0.8488713667992046,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:50:00,4.81,1.02,41.32,54.0,16.0,286.0,50,1.7875,35.55555555555556,3056.29434,4576.0,0.6678964903846154,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 16:51:00,4.89,0.83,39.35,54.0,13.0,283.0,50,1.76875,28.88888888888889,2486.9846099999995,3679.0,0.6759947295460722,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 16:52:00,4.93,0.57,32.385,54.0,9.0,252.0,50,1.575,20.0,1707.9291899999996,2268.0,0.7530551984126982,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 16:53:00,4.815,0.89,40.22,54.0,15.0,282.0,50,1.7625,33.333333333333336,2666.7666299999996,4230.0,0.6304412836879432,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 16:54:00,4.86,0.96,41.13,54.0,16.0,289.0,50,1.80625,35.55555555555556,2876.5123199999994,4624.0,0.622083114186851,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:55:00,4.87,0.83,38.68,54.0,13.0,280.0,50,1.75,28.88888888888889,2486.9846099999995,3640.0,0.6832375302197801,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 16:56:00,4.885,0.7,36.905,54.0,11.0,273.0,50,1.70625,24.444444444444443,2097.4568999999997,3003.0,0.6984538461538461,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 16:57:00,4.83,0.96,40.85,54.0,15.0,286.0,50,1.7875,33.333333333333336,2876.5123199999994,4290.0,0.6705156923076921,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 16:58:00,4.93,0.76,36.625,54.0,12.0,274.0,50,1.7125,26.666666666666668,2277.23892,3288.0,0.692590912408759,4.5,0.009489444444444444,11.446642361111111,25.436983024691358
2023-06-22 16:59:00,4.875,0.57,33.29,54.0,9.0,256.0,50,1.6,20.0,1707.9291899999996,2304.0,0.7412887109374998,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:00:00,4.82,1.02,41.35,54.0,15.0,288.0,50,1.8,33.333333333333336,3056.29434,4320.0,0.7074755416666666,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:01:00,4.89,0.83,38.86,54.0,13.0,282.0,50,1.7625,28.88888888888889,2486.9846099999995,3666.0,0.6783918739770866,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 17:02:00,4.85,0.7,35.96,54.0,11.0,269.0,50,1.68125,24.444444444444443,2097.4568999999997,2959.0,0.7088397769516728,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 17:03:00,4.88,0.89,39.41,54.0,15.0,284.0,50,1.775,33.333333333333336,2666.7666299999996,4260.0,0.6260015563380281,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:04:00,4.84,0.96,40.13,54.0,15.0,284.0,50,1.775,33.333333333333336,2876.5123199999994,4260.0,0.6752376338028168,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 17:05:00,4.9,0.7,36.56,54.0,11.0,272.0,50,1.7,24.444444444444443,2097.4568999999997,2992.0,0.7010216911764705,4.5,0.008740277777777776,10.542960069444442,23.42880015432098
2023-06-22 17:06:00,4.85,0.64,33.7,54.0,9.0,260.0,50,1.625,20.0,1917.6748799999998,2340.0,0.8195191794871794,4.5,0.00799111111111111,9.639277777777776,21.420617283950612
2023-06-22 17:07:00,4.835,0.96,40.72,54.0,15.0,287.0,50,1.79375,33.333333333333336,2876.5123199999994,4305.0,0.668179400696864,4.5,0.011986666666666665,14.458916666666664,32.13092592592592
2023-06-22 17:08:00,4.89,0.89,39.51,54.0,14.0,284.0,50,1.775,31.11111111111111,2666.7666299999996,3976.0,0.6707159532193158,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:09:00,4.93,0.57,31.54,54.0,10.0,248.0,50,1.55,22.22222222222222,1707.9291899999996,2480.0,0.6886811249999999,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:10:00,4.85,0.83,39.28,54.0,14.0,282.0,50,1.7625,31.11111111111111,2486.9846099999995,3948.0,0.6299353115501518,4.5,0.01036347222222222,12.500938368055554,27.779863040123452
2023-06-22 17:11:00,4.84,1.08,42.275,54.0,16.0,292.0,50,1.825,35.55555555555556,3236.0763599999996,4672.0,0.692653330479452,4.5,0.013485,16.26628125,36.14729166666666
2023-06-22 17:12:00,4.93,0.57,32.91,54.0,10.0,257.0,50,1.60625,22.22222222222222,1707.9291899999996,2570.0,0.664563887159533,4.5,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:13:00,4.845,0.89,39.61,54.0,14.0,283.0,50,1.76875,31.11111111111111,2666.7666299999996,3962.0,0.6730859742554265,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:14:00,4.81,1.02,41.78,54.0,16.0,289.0,50,1.80625,35.55555555555556,3056.29434,4624.0,0.6609633088235294,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:15:00,4.83,1.02,41.86,54.0,16.0,290.5,50,1.815625,35.55555555555556,3056.29434,4648.0,0.657550417383821,4.5,0.012735833333333335,15.362598958333336,34.1391087962963
2023-06-22 17:16:00,4.82,0.89,39.62,54.0,15.0,285.0,50,1.78125,33.333333333333336,2666.7666299999996,4275.0,0.6238050596491227,4.5,0.011112638888888889,13.404620659722221,29.788045910493825
2023-06-22 17:17:00,0.65,0.0,0.0,54.0,0.0,9.0,50,0.05625,0.0,0.0,0.0,,0.5,0.0,0.0,0.0
2023-06-22 17:18:00,0.06,0.57,33.01,54.0,9.0,256.0,50,1.6,20.0,1707.9291899999996,2304.0,0.7412887109374998,0.0,0.007117083333333332,8.584981770833332,19.077737268518515
2023-06-22 17:19:00,0.19,1.21,45.37,54.0,19.0,303.0,50,1.89375,42.22222222222222,3625.6040699999994,5757.0,0.6297731578947368,0.0,0.015108194444444441,18.22425954861111,40.49835455246913
